Length,Weight
50,0.65
52,0.69
41,0.36
55,0.89
55,0.91
61,1.48
67,1.92
64,1.63
60,1.55
60,1.43
53,0.96
54,0.85
56,0.84
40,0.4
53,0.97
66,1.6
61,1.17
55,0.86
55,0.87
56,0.88
55,0.89
55,0.89
62,1.13
55,0.84
52,0.77
54,0.91
52,0.77
50,0.73
50,0.69
50,0.67
50,0.66
39,0.41
55,0.83
54,0.8
64,1.48
43,0.75
52,0.78
54,0.83
51,0.84
44,0.85
47,0.88
54,1.05
56,1.47
51,0.77
42,0.75
53,1.09
46,0.51
49,0.72
44,0.49
43,0.54
43,0.54
43,0.6
52,0.61
45,0.69
47,0.64
46,0.43
45,0.81
49,0.61
44,0.41
48,0.54
67,-999
56,1.04
62,1.15
51,-999
52,-999
56,-999
58,-999
53,-999
46,-999
46,-999
41,-999
52,-999
53,-999
46,-999
48,-999
45,-999
49,-999
45,-999
54,-999
63,-999
63,-999
60,-999
59,-999
65,-999
56,-999
56,-999
55,-999
54,-999
53,-999
44,-999
55,-999
61,-999
45,-999
64,-999
56,-999
55,-999
49,-999
46,-999
44,-999
44,-999
44,-999
43,-999
40,-999
44,-999
43,0.39
47,0.4
51,0.42
64,0.74
44,0.53
42,0.44
58,1.34
44,0.55
57,0.67
45,0.38
49,0.43
47,0.45
43,0.5
46,0.56
44,0.58
46,0.58
51,0.58
64,1.78
65,1.82
45,0.49
44,0.48
58,1.11
39,0.42
43,0.48
51,0.55
53,0.58
54,0.63
61,1.22
39,0.42
44,0.55
45,0.6
56,0.82
59,0.87
60,1.19
60,1.21
59,0.87
60,1.2
41,0.55
45,0.6
55,1.05
55,1.07
59,1.17
44,0.54
66,1.62
56,1.15
70,1.37
56,1.15
56,1.17
67,1.29
55,1.08
51,0.93
62,1.25
51,0.94
50,0.91
48,0.61
39,0.4
38,0.38
54,1.07
52,0.98
55,1.09
52,0.65
55,0.71
46,-999
56,-999
64,-999
52,0.71
62,0.89
45,0.41
53,0.63
49,0.74
66,1.97
38,0.35
54,1.03
57,1.08
56,0.87
60,1.06
60,1.02
58,0.96
61,1.15
58,0.96
51,0.75
49,0.58
55,0.91
60,0.9
59,0.98
61,1.14
55,0.98
57,0.96
58,0.81
51,0.79
52,0.64
56,0.95
60,1.19
55,0.91
63,1.43
60,1.24
61,1.23
57,1.06
56,0.94
52,0.75
58,1.03
58,1.11
63,1.29
56,0.75
51,0.6
31,0.36
28,0.09
28,0.15
21,0.07
27,0.11
51,0.69
49,0.62
27,0.1
48,0.84
29,0.15
49,0.64
50,0.72
54,0.73
51,0.73
50,0.73
49,0.73
51,0.74
50,0.72
52,0.71
51,0.71
51,0.74
50,0.71
50,0.8
49,0.71
50,0.71
51,0.74
50,0.75
50,0.75
52,0.75
49,0.69
52,0.79
50,0.65
54,0.8
51,0.81
53,0.81
56,0.93
57,0.97
56,1.02
52,0.79
50,0.61
34,0.21
44,0.5
36,0.27
49,0.52
50,0.53
46,0.55
45,0.56
48,0.57
48,0.57
48,0.58
48,0.6
49,0.6
50,0.67
50,0.6
50,0.68
51,0.61
47,0.62
50,0.62
44,0.63
49,0.64
50,0.64
58,1.25
50,0.66
58,1.08
50,0.67
51,0.67
49,0.68
49,0.6
56,1.04
29,0.16
20,0.05
22,0.05
25,0.08
27,0.09
26,0.1
26,0.16
32,0.14
34,0.18
29,0.11
26,0.08
25,0.08
30,0.06
25,0.04
32,0.28
57,1
63,1.01
50,0.81
57,1.06
62,1.03
22,0.03
32,0.05
34,0.2
55,0.9
54,0.88
56,0.92
58,1.11
60,1.35
30,0.18
31,0.18
27,0.11
55,0.82
35,0.22
35,0.21
29,0.13
30,0.17
26,0.11
46,0.65
50,0.69
57,0.95
57,0.93
56,1.05
58,1.04
57,1.03
55,0.94
55,0.8
27,0.09
47,0.71
32,0.16
63,1.3
52,1.17
50,0.74
49,0.75
52,0.75
51,0.76
52,0.76
56,0.95
51,0.77
52,0.73
52,0.77
53,0.78
53,0.82
55,0.92
57,0.93
35,0.25
61,1.24
30,0.23
53,0.72
46,0.58
29,0.13
31,0.2
32,0.23
34,0.23
30,0.26
48,0.63
49,0.66
49,0.68
50,0.71
50,0.72
32,0.14
56,0.8
51,0.74
55,0.99
50,1.04
57,0.89
59,0.76
52,0.74
50,0.73
50,0.65
50,0.64
32,0.24
35,0.21
32,0.16
49,0.9
51,0.74
33,0.12
53,0.76
51,0.56
31,0.16
32,0.2
31,0.21
56,0.52
26,0.12
26,0.18
24,0.06
29,0.1
27,0.12
26,0.13
51,0.89
29,0.16
32,0.18
35,0.19
31,0.25
35,0.27
33,0.34
50,0.56
51,0.66
27,0.15
26,0.12
25,0.13
29,0.15
35,0.15
27,0.23
24,0.12
21,0.07
29,0.1
30,0.26
30,0.26
50,0.72
26,0.08
31,0.22
56,0.91
51,0.74
55,0.79
51,0.8
53,0.92
56,1.13
60,1.24
59,1.25
62,1.26
30,0.13
60,1
51,0.62
24,0.08
58,1.29
61,1.26
35,0.2
53,0.74
48,0.65
55,0.82
53,0.85
55,0.9
58,1.02
57,1.03
61,1.2
52,0.7
31,0.17
62,1.34
60,1.11
50,0.77
51,0.68
50,0.62
50,0.6
46,0.59
46,0.5
34,0.21
31,0.21
31,0.12
52,0.75
53,0.75
45,0.7
50,0.74
57,0.92
56,0.92
53,0.88
54,0.85
51,0.77
50,0.73
51,0.72
50,0.66
30,0.14
50,0.74
50,0.7
49,0.67
51,0.75
48,0.67
54,0.87
53,0.97
51,0.76
55,0.82
59,1.04
50,0.67
33,0.16
46,0.51
49,0.67
47,0.57
48,0.56
63,1.24
47,0.54
50,0.65
56,0.81
48,0.61
60,1.04
50,0.82
52,0.87
55,0.89
56,0.92
56,0.98
59,1.01
49,0.64
57,1.02
53,0.7
60,1.07
58,1.14
53,0.71
52,0.71
52,0.71
53,0.77
52,0.72
52,0.72
47,0.72
59,1.14
59,1.01
56,0.91
55,0.86
46,0.53
28,0.11
29,0.13
54,0.82
63,1.21
58,0.89
22,0.05
32,0.16
55,0.78
52,0.74
56,0.95
57,1.09
52,0.79
51,0.75
49,0.69
49,0.6
27,0.12
66,1.45
34,0.27
58,1.14
58,1.12
59,1.12
59,1.13
56,1.14
57,1.1
58,1.16
55,1.17
56,1.1
58,1.24
57,1
59,1.34
56,1.23
59,0.99
56,0.95
56,0.95
57,0.96
57,0.96
58,0.98
56,1.04
58,0.99
54,1.09
53,0.83
56,1.01
60,1.38
53,1.05
57,1.05
57,1.08
55,0.99
47,0.75
55,0.93
45,0.49
48,0.62
49,0.69
51,0.69
49,0.7
52,0.7
53,0.7
51,0.71
48,0.72
51,0.72
51,0.72
53,0.88
49,0.74
62,1.46
53,0.75
52,0.76
48,0.77
54,0.79
53,0.8
49,0.81
48,0.82
52,0.82
53,0.84
53,0.91
54,0.91
53,0.92
52,0.72
49,0.32
50,0.6
51,0.83
56,0.84
60,0.88
56,0.92
51,0.97
61,1.29
56,0.93
55,0.95
58,0.97
59,0.98
61,1.09
62,1.19
58,1.2
58,0.92
64,1.24
60,1.04
59,1.2
51,0.71
50,0.6
58,1.15
55,0.92
50,0.68
52,0.73
55,0.74
53,0.77
59,0.78
56,0.87
52,0.92
52,0.67
55,0.87
55,0.85
57,1.06
57,0.96
55,0.88
60,0.94
55,0.95
55,0.95
57,0.95
64,1.55
58,0.99
57,1.01
58,1.01
58,1.05
61,1.13
62,1.19
53,0.85
54,0.97
60,1.04
50,0.62
54,0.84
54,1
48,0.56
50,0.62
50,0.62
51,0.63
50,0.66
53,0.7
51,0.71
58,0.83
49,0.44
52,0.71
53,0.81
54,0.76
54,0.76
52,0.74
51,0.74
49,0.74
49,0.74
56,0.81
55,0.97
60,1.01
59,1.09
65,1.44
60,1.34
61,1.29
60,1.2
60,1.1
55,1.05
61,1.04
58,1.03
58,1.02
59,1.01
54,0.99
55,0.85
52,0.98
58,1.02
53,0.88
51,0.77
56,0.76
48,0.6
51,0.69
52,0.69
54,0.71
56,0.83
54,0.84
57,0.88
54,0.84
60,0.94
57,0.97
57,0.9
56,0.92
55,0.94
47,0.58
53,0.9
56,1.01
55,1.02
60,1.17
26,0.19
25,0.08
29,0.18
36,0.21
32,0.23
35,0.23
31,0.27
34,0.32
29,0.35
49,0.72
55,0.93
57,1.1
28,0.18
50,0.68
30,0.12
31,0.19
26,0.19
32,0.18
30,0.18
29,0.18
30,0.17
29,0.17
30,0.15
29,0.14
27,0.14
30,0.13
53,0.71
31,0.12
34,0.26
27,0.11
28,0.1
30,0.09
26,0.09
25,0.09
27,0.08
26,0.08
26,0.07
21,0.07
21,0.06
21,0.06
22,0.05
30,0.13
51,0.69
57,1.08
60,1.06
57,1.03
58,0.96
51,0.93
53,0.84
52,0.84
55,0.83
55,0.82
52,0.81
54,0.78
52,0.73
33,0.21
51,0.73
31,0.24
52,0.64
48,0.59
45,0.56
49,0.54
47,0.46
44,0.46
35,0.33
36,0.27
35,0.27
35,0.27
35,0.26
66,1.53
51,0.81
47,0.69
34,0.27
50,0.75
50,0.75
53,0.74
54,0.73
49,0.73
53,0.72
52,0.75
48,0.69
49,0.76
52,0.67
51,0.67
50,0.65
47,0.52
45,0.45
50,0.37
31,0.29
58,0.98
51,0.69
51,0.8
56,0.93
56,0.92
50,0.9
57,0.89
51,0.89
55,0.86
54,0.83
50,0.75
54,0.8
30,0.27
53,0.79
52,0.79
51,0.79
53,0.78
52,0.78
52,0.77
52,0.77
51,0.76
53,0.82
26,0.1
36,0.28
37,0.12
35,0.12
30,0.12
28,0.12
34,0.11
33,0.11
27,0.13
26,0.11
29,0.13
25,0.1
25,0.1
27,0.09
26,0.09
26,0.09
28,0.08
25,0.05
25,0.04
32,0.11
36,0.17
35,0.26
36,0.25
33,0.22
35,0.21
37,0.2
36,0.19
28,0.19
26,0.13
32,0.18
49,0.89
32,0.17
34,0.16
31,0.15
31,0.14
31,0.14
26,0.14
32,0.13
31,0.13
32,0.18
55,0.84
59,0.98
60,1.15
57,1.13
57,1.1
56,1.05
56,1.03
52,0.69
46,0.55
53,0.66
53,0.68
54,0.67
53,0.67
51,0.67
43,0.67
55,0.66
51,0.69
54,0.63
50,0.61
53,0.71
52,0.58
54,0.74
31,0.44
31,0.35
33,0.32
36,0.28
32,0.27
48,0.61
54,0.78
56,0.88
56,0.87
54,0.86
52,0.86
53,0.85
57,0.84
55,0.84
51,0.82
53,0.81
49,0.73
55,0.78
52,0.72
54,0.78
53,0.77
55,0.76
52,0.75
52,0.75
51,0.75
31,0.22
54,0.73
35,0.24
49,0.78
27,0.1
36,0.22
28,0.14
23,0.14
25,0.13
35,0.12
31,0.12
31,0.12
30,0.12
31,0.15
31,0.11
31,0.15
22,0.1
26,0.09
26,0.07
51,0.82
26,0.07
57,0.94
22,0.07
20,0.06
53,0.78
27,0.12
29,0.18
36,0.23
34,0.22
29,0.22
35,0.21
36,0.2
37,0.19
32,0.19
35,0.18
30,0.15
30,0.18
52,0.23
34,0.17
31,0.17
29,0.17
34,0.16
31,0.16
31,0.16
36,0.15
35,0.15
32,0.15
31,0.18
52,1.15
58,0.96
61,-999
62,1.34
59,1.17
49,0.79
61,1.14
61,1.11
56,0.97
55,1.1
57,1.07
60,1.06
57,1.01
60,1.1
52,1.3
52,0.97
55,0.83
60,1.28
58,1.35
60,1.39
54,1.51
57,1.19
49,0.69
60,1.42
60,1.15
57,1.1
59,0.99
51,0.83
51,0.82
50,0.79
55,0.88
51,0.75
32,0.24
52,0.76
31,0.21
23,0.08
30,0.15
32,0.16
31,0.17
30,0.19
33,0.19
31,0.28
33,0.2
56,0.91
49,0.64
32,0.26
48,0.71
55,0.97
30,0.37
54,0.97
57,0.99
31,0.2
63,1.29
64,1.38
60,1.26
56,0.9
58,0.98
61,1.17
59,1.2
59,1.1
22,0.08
34,0.12
61,1.12
36,0.22
35,0.22
33,0.22
33,0.22
45,0.21
37,0.24
36,0.21
35,0.21
34,0.21
35,0.19
34,0.19
32,0.19
31,0.19
35,0.18
32,0.22
35,0.26
51,0.86
38,0.31
38,0.29
36,0.28
38,0.27
33,0.27
38,0.26
36,0.22
37,0.26
32,0.18
33,0.26
41,0.25
40,0.25
40,0.25
34,0.25
33,0.25
36,0.24
37,0.26
26,0.13
27,0.11
31,0.18
30,0.1
27,0.14
31,0.14
32,0.15
35,0.15
33,0.16
34,0.16
29,0.17
31,0.17
32,0.17
32,0.15
36,0.26
34,0.15
30,0.16
31,0.18
32,0.2
30,0.22
37,0.32
37,0.24
35,0.27
31,0.14
35,0.24
35,0.15
60,1.29
52,0.77
50,0.58
41,0.43
39,0.36
39,0.3
38,0.28
36,0.28
35,0.28
35,0.23
35,0.23
34,0.21
36,0.21
60,0.91
34,0.31
39,0.31
39,0.34
35,0.36
40,0.56
48,0.59
49,0.59
48,0.6
56,0.95
58,0.97
55,1.08
60,1.11
57,1.13
52,0.95
51,0.79
56,0.78
50,0.76
53,0.75
52,0.7
61,1.17
39,0.29
61,1.17
57,0.82
60,1.18
50,0.7
52,0.87
55,0.88
54,0.79
52,0.89
34,0.19
35,0.18
39,0.29
35,0.19
40,0.2
34,0.21
36,0.21
38,0.22
35,0.23
38,0.25
55,0.92
60,0.87
38,0.29
35,0.3
36,0.3
39,0.36
52,0.77
50,0.82
57,0.88
50,0.93
58,0.97
58,0.98
34,0.27
58,1.03
61,0.9
60,1.09
54,0.99
54,0.93
35,0.17
53,0.66
37,0.36
38,0.24
47,0.92
55,0.88
35,0.41
27,0.17
26,0.06
44,0.72
32,0.23
54,0.95
57,0.9
32,0.3
38,0.39
33,0.18
44,0.22
32,0.19
37,0.29
29,0.12
31,0.11
32,0.17
33,0.2
31,0.14
34,0.16
33,0.18
37,0.18
38,0.2
31,0.24
38,0.31
28,0.16
37,0.21
34,0.32
58,1.04
38,0.06
54,0.94
30,0.2
32,0.18
34,0.17
37,0.23
33,0.16
31,0.18
51,0.57
33,0.16
34,0.15
39,0.29
34,0.22
36,0.2
36,0.29
31,0.16
57,0.96
41,0.31
38,0.26
37,0.31
37,0.26
38,0.24
36,0.24
37,0.21
35,0.18
34,0.16
32,0.19
39,0.34
38,0.31
36,0.2
33,0.22
37,0.29
56,0.98
34,0.27
36,0.28
37,0.29
39,0.29
51,0.54
38,0.24
36,0.24
55,0.2
34,0.21
36,0.24
41,0.26
35,0.28
40,0.3
38,0.32
54,0.88
35,0.24
38,0.31
58,0.88
35,0.25
37,0.24
52,0.67
48,0.59
52,0.58
53,0.66
39,0.38
40,0.31
37,0.3
39,0.27
36,0.26
50,0.61
36,0.25
49,0.6
54,0.72
57,0.73
44,0.37
58,0.76
35,0.24
54,0.77
50,0.64
47,0.6
36,0.25
36,0.21
36,0.16
46,0.43
39,0.23
30,0.33
34,0.19
38,0.19
33,0.21
36,0.21
35,0.22
32,0.25
30,0.16
35,0.32
46,0.54
50,0.56
58,0.89
31,0.31
55,0.83
55,0.62
-999,-999
38,0.33
40,0.27
36,0.27
33,0.13
29,0.08
35,0.21
30,0.16
39,0.33
38,0.18
57,0.83
35,0.28
41,0.38
52,0.86
32,0.21
35,0.24
37,0.25
39,0.29
39,0.35
50,0.75
53,0.79
54,0.84
32,0.2
57,0.92
57,0.97
59,1
52,1.09
55,0.81
35,0.29
31,0.23
31,0.23
34,0.22
52,0.59
35,0.32
32,0.25
32,0.24
31,0.24
37,0.23
32,0.23
32,0.23
37,0.37
38,0.36
32,0.27
36,0.32
36,0.25
38,0.3
40,0.31
39,0.3
32,0.29
36,0.3
30,0.19
35,0.27
40,0.38
32,0.35
33,0.18
32,0.18
30,0.18
32,0.12
31,0.19
32,0.21
53,0.64
35,0.17
32,0.19
34,0.21
38,0.26
35,0.29
42,0.31
30,0.14
42,0.33
35,0.19
55,0.85
40,0.32
37,0.22
30,0.04
38,0.29
39,0.26
33,0.24
33,0.21
34,0.19
40,0.32
27,0.11
33,0.14
39,0.14
34,0.18
35,0.19
36,0.23
38,0.32
37,0.37
35,0.38
39,0.48
41,0.64
54,0.75
37,0.28
55,0.67
53,0.74
33,0.16
36,0.21
53,0.65
40,0.3
52,0.65
50,0.55
59,0.91
60,0.99
42,0.33
58,0.89
36,0.22
36,0.23
48,0.49
38,0.3
38,0.26
35,0.21
35,0.26
33,0.2
31,0.17
34,0.19
37,0.24
39,0.34
37,0.27
35,0.32
37,0.21
36,0.21
33,0.16
34,0.19
35,0.17
28,0.11
36,0.26
35,0.27
46,0.55
61,0.99
34,0.24
32,0.18
34,0.14
31,0.18
34,0.25
34,0.19
31,0.2
33,0.21
33,0.21
34,0.21
32,0.22
36,0.22
34,0.23
36,0.23
35,0.24
36,0.24
39,0.42
33,0.17
51,0.71
33,0.18
35,0.2
36,0.22
36,0.23
55,0.76
55,0.93
27,0.1
34,0.22
33,0.17
36,0.25
33,0.23
35,0.25
37,0.29
57,0.8
57,0.83
59,0.95
31,0.17
39,0.34
57,0.92
55,0.8
37,0.21
63,1.31
48,0.71
61,1.2
54,0.83
60,1.21
54,0.79
52,0.79
57,0.76
55,0.76
56,0.73
52,0.73
57,0.7
53,0.7
51,0.69
51,0.69
50,0.68
51,0.67
51,0.67
53,0.66
51,0.64
50,0.63
50,0.63
48,0.61
53,0.73
58,1.01
56,0.86
55,0.87
56,0.86
56,0.88
57,0.89
57,0.89
56,0.9
58,0.93
55,0.95
58,0.98
56,0.85
58,1
54,0.84
60,1.05
60,1.09
61,1.17
60,1.12
56,1.13
52,0.83
60,1.13
51,0.56
56,0.88
55,0.86
57,1
28,0.14
53,0.84
48,0.56
26,0.08
25,0.09
27,0.09
28,0.09
28,0.1
30,0.1
25,0.11
29,0.12
30,0.12
30,0.12
32,0.13
45,0.21
38,0.28
38,0.26
37,0.26
35,0.26
34,0.26
31,0.12
32,0.23
30,0.14
37,0.21
34,0.17
33,0.17
31,0.16
31,0.15
35,0.23
36,0.21
32,0.15
39,0.34
36,0.22
31,0.31
50,0.74
51,0.59
35,0.27
37,0.24
26,0.23
38,0.22
31,0.22
34,0.21
35,0.2
30,0.19
30,0.18
28,0.17
28,0.17
27,0.12
52,0.71
28,0.13
39,0.35
38,0.26
38,0.22
36,0.19
36,0.19
32,0.18
34,0.17
32,0.16
35,0.14
26,0.12
29,0.11
30,0.09
31,0.15
34,0.2
32,0.18
35,0.23
34,0.23
32,0.23
32,0.22
35,0.21
33,0.21
34,0.2
52,0.73
33,0.2
33,0.2
55,0.97
34,0.18
58,1.12
31,0.18
31,0.18
28,0.21
35,0.25
38,0.28
35,0.3
40,0.3
47,0.63
32,0.33
32,0.24
37,0.33
55,0.63
36,0.25
30,0.17
34,0.24
38,0.24
38,0.24
38,0.24
35,0.24
34,0.24
56,0.88
39,0.27
36,0.26
25,0.08
29,0.17
32,0.2
28,0.08
32,0.08
26,0.09
25,0.1
31,0.11
32,0.11
32,0.14
29,0.12
29,0.16
31,0.14
28,0.14
32,0.13
30,0.13
29,0.13
32,0.12
54,0.81
62,1.16
54,0.94
58,0.95
56,0.97
58,1.08
56,1.16
58,1.22
54,0.79
37,0.25
34,0.18
33,0.19
40,0.29
32,0.24
38,0.28
40,0.29
35,0.21
52,0.74
42,0.31
38,0.28
36,0.36
40,0.35
39,0.35
42,0.34
36,0.33
41,0.38
37,0.32
47,0.63
40,0.31
36,0.31
42,0.3
37,0.3
38,0.29
40,0.32
51,0.79
60,1.09
56,1.07
58,1.06
56,0.99
57,0.97
56,0.92
40,0.36
55,0.81
37,0.29
53,0.75
54,0.74
52,0.73
55,0.72
51,0.7
53,0.68
54,0.89
35,0.2
37,0.3
35,0.28
35,0.18
36,0.22
55,0.22
35,0.23
37,0.23
37,0.26
35,0.27
39,0.27
33,0.28
37,0.24
35,0.28
33,0.21
32,0.3
38,0.28
36,0.28
35,0.28
33,0.25
40,0.24
34,0.23
34,0.2
37,0.22
35,0.3
42,0.34
36,0.25
35,0.31
36,0.31
36,0.31
37,0.31
35,0.32
42,0.33
36,0.35
39,0.41
42,0.79
57,0.96
33,0.25
33,0.26
37,0.32
38,0.27
41,0.39
39,0.3
40,0.3
41,0.3
36,0.31
39,0.31
41,0.31
31,0.32
36,0.32
39,0.32
39,0.33
39,0.33
37,0.34
38,0.34
35,0.3
50,0.63
35,0.28
58,0.98
59,0.97
56,0.93
56,0.93
41,-999
52,0.72
41,0.37
47,0.6
48,0.5
44,0.41
38,0.41
43,0.39
40,0.35
53,0.82
35,0.19
36,0.23
36,0.22
34,0.22
32,0.22
30,0.22
37,0.24
35,0.2
32,0.16
34,0.19
34,0.19
33,0.16
39,0.29
30,0.15
49,0.38
36,0.2
42,0.28
37,0.29
40,0.28
35,0.28
39,0.27
36,0.27
40,0.26
38,0.26
37,0.26
36,0.26
38,0.25
35,0.25
40,0.24
38,0.24
38,0.26
41,0.3
36,0.23
38,0.23
36,0.25
37,0.26
40,0.26
39,0.27
37,0.28
38,0.28
40,0.31
40,0.29
37,0.31
36,0.23
36,0.2
40,0.28
34,0.23
33,0.23
31,0.23
38,0.22
37,0.22
37,0.22
35,0.17
35,0.21
37,0.32
35,0.2
31,0.2
30,0.19
29,0.19
35,0.17
34,0.22
60,0.95
39,0.32
30,0.12
59,0.96
52,0.78
51,0.7
54,0.69
50,0.69
49,0.6
51,0.54
39,0.35
42,0.34
34,0.19
35,0.23
37,0.4
41,0.45
30,0.14
27,0.11
32,0.19
29,0.22
30,0.17
29,0.14
30,0.16
52,0.68
48,0.57
57,0.98
57,0.89
55,0.88
58,0.87
52,0.85
54,0.76
51,0.74
51,0.7
52,0.69
34,0.24
32,0.19
33,0.21
47,0.55
37,0.23
34,0.24
50,0.69
36,0.25
40,0.26
30,0.18
35,0.34
28,0.12
32,0.22
61,1.04
55,0.66
53,0.86
56,0.91
58,1
59,1.01
41,0.47
25,0.05
34,0.19
31,0.26
33,0.2
30,0.21
36,0.39
57,0.94
34,0.36
62,1.13
29,0.22
36,0.48
34,0.19
35,0.31
39,0.19
41,0.3
39,0.25
35,0.25
31,0.23
32,0.18
34,0.17
27,0.12
24,0.1
29,0.09
24,0.05
33,0.18
34,0.31
49,-999
51,-999
51,-999
50,-999
50,-999
49,-999
49,-999
49,-999
49,-999
52,-999
49,-999
56,-999
49,-999
49,-999
57,-999
-999,-999
-999,-999
65,-999
63,-999
60,-999
60,-999
54,-999
59,-999
52,-999
57,-999
56,-999
48,-999
56,-999
48,-999
53,-999
59,-999
45,-999
37,-999
42,-999
43,-999
43,-999
49,-999
44,-999
48,-999
45,-999
45,-999
45,-999
45,-999
45,-999
46,-999
47,-999
44,-999
46,-999
48,-999
47,-999
47,-999
47,-999
46,-999
46,-999
46,-999
46,-999
46,-999
46,-999
47,-999
33,0.2
34,0.3
61,1.35
32,0.37
34,0.35
38,0.34
37,0.32
37,0.28
37,0.25
31,0.24
34,0.2
61,1.14
34,0.15
33,0.19
32,0.18
